Day,Sold Units,Restocked Units,Available Units
0,0,2000,2000
1,113,0,1887
2,56,0,1831
3,104,0,1727
4,31,0,1696
5,174,0,1522
6,18,0,1504
7,0,496,2000
8,124,0,1876
9,83,0,1793
10,168,0,1625
11,196,0,1429
12,183,0,1246
13,15,0,1231
14,0,769,2000
15,59,0,1941
16,18,0,1923
17,163,0,1760
18,48,0,1712
19,8,0,1704
20,24,0,1680
21,0,320,2000
22,34,0,1966
23,78,0,1888
24,70,0,1818
25,84,0,1734
26,85,0,1649
27,103,0,1546
28,0,454,2000
29,177,0,1823
30,52,0,1771
31,169,0,1602
32,160,0,1442
33,12,0,1430
34,184,0,1246
35,0,754,2000
36,147,0,1853
37,154,0,1699
38,147,0,1552
39,199,0,1353
40,75,0,1278
41,81,0,1197
42,0,803,2000
43,187,0,1813
44,134,0,1679
45,19,0,1660
46,174,0,1486
47,201,0,1285
48,177,0,1108
49,0,892,2000
